,c_ch4,f_ch4,w,phi,z,T,ch4
141,5.203407481405076e+16,0.002,-1.5e-09,0.65,14.147157190635452,4.0,1.8615658321849085e-09
142,5.203412008548196e+16,0.002,-1.5e-09,0.65,14.247491638795987,4.0,1.8615658321849085e-09
143,5.203416184089876e+16,0.002,-1.5e-09,0.65,14.347826086956522,4.0,1.8615658321849085e-09
144,5.203420035337156e+16,0.002,-1.5e-09,0.65,14.448160535117058,4.0,1.8615658321849085e-09
145,5.203423587476516e+16,0.002,-1.5e-09,0.65,14.548494983277592,4.0,1.8615658321849085e-09
146,5.203426863738036e+16,0.002,-1.5e-09,0.65,14.648829431438127,4.0,1.8615658321849085e-09
147,5.203429885547796e+16,0.002,-1.5e-09,0.65,14.749163879598662,4.0,1.8615658321849085e-09
148,5.203432672667716e+16,0.002,-1.5e-09,0.65,14.849498327759198,4.0,1.8615658321849085e-09
149,5.203435243325076e+16,0.002,-1.5e-09,0.65,14.949832775919733,4.0,1.8615658321849085e-09
150,5.203437614331396e+16,0.002,-1.5e-09,0.65,15.050167224080267,4.0,1.8615658321849085e-09
151,5.203439801192596e+16,0.002,-1.5e-09,0.65,15.150501672240804,4.0,1.8615658321849085e-09
152,5.203441818210196e+16,0.002,-1.5e-09,0.65,15.250836120401338,4.0,1.8615658321849085e-09
153,5.203443678575156e+16,0.002,-1.5e-09,0.65,15.351170568561873,4.0,1.8615658321849085e-09
154,5.203445394453956e+16,0.002,-1.5e-09,0.65,15.45150501672241,4.0,1.8615658321849085e-09
155,5.203446977068036e+16,0.002,-1.5e-09,0.65,15.551839464882944,4.0,1.8615658321849085e-09
156,5.203448436767396e+16,0.002,-1.5e-09,0.65,15.652173913043478,4.0,1.8615658321849085e-09
157,5.203449783098276e+16,0.002,-1.5e-09,0.65,15.752508361204013,4.0,1.8615658321849085e-09
158,5.203451024865316e+16,0.002,-1.5e-09,0.65,15.85284280936455,4.0,1.8615658321849085e-09
159,5.203452170189556e+16,0.002,-1.5e-09,0.65,15.953177257525084,4.0,1.8615658321849085e-09
160,5.203453226561236e+16,0.002,-1.5e-09,0.65,16.05351170568562,4.0,1.8615658321849085e-09
161,5.203454200888756e+16,0.002,-1.5e-09,0.65,16.153846153846153,4.0,1.8615658321849085e-09
162,5.203455099544116e+16,0.002,-1.5e-09,0.65,16.254180602006688,4.0,1.8615658321849085e-09
163,5.203455928404436e+16,0.002,-1.5e-09,0.65,16.354515050167226,4.0,1.8615658321849085e-09
164,5.203456692890356e+16,0.002,-1.5e-09,0.65,16.45484949832776,4.0,1.8615658321849085e-09
165,5.203457398001396e+16,0.002,-1.5e-09,0.65,16.555183946488295,4.0,1.8615658321849085e-09
166,5.203458048348996e+16,0.002,-1.5e-09,0.65,16.65551839464883,4.0,1.8615658321849085e-09
167,5.203458648186356e+16,0.002,-1.5e-09,0.65,16.755852842809364,4.0,1.8615658321849085e-09
168,5.203459201436276e+16,0.002,-1.5e-09,0.65,16.8561872909699,4.0,1.8615658321849085e-09
169,5.203459711717076e+16,0.002,-1.5e-09,0.65,16.956521739130434,4.0,1.8615658321849085e-09
170,5.203460182365876e+16,0.002,-1.5e-09,0.65,17.056856187290972,4.0,1.8615658321849085e-09
171,5.203460616460756e+16,0.002,-1.5e-09,0.65,17.157190635451506,4.0,1.8615658321849085e-09
172,5.203461016840596e+16,0.002,-1.5e-09,0.65,17.25752508361204,4.0,1.8615658321849085e-09
173,5.203461386123956e+16,0.002,-1.5e-09,0.65,17.357859531772576,4.0,1.8615658321849085e-09
174,5.203461726725876e+16,0.002,-1.5e-09,0.65,17.45819397993311,4.0,1.8615658321849085e-09
175,5.203462040873876e+16,0.002,-1.5e-09,0.65,17.558528428093645,4.0,1.8615658321849085e-09
176,5.203462330622596e+16,0.002,-1.5e-09,0.65,17.65886287625418,4.0,1.8615658321849085e-09
177,5.203462597866916e+16,0.002,-1.5e-09,0.65,17.759197324414718,4.0,1.8615658321849085e-09
178,5.203462844354756e+16,0.002,-1.5e-09,0.65,17.859531772575252,4.0,1.8615658321849085e-09
179,5.203463071698036e+16,0.002,-1.5e-09,0.65,17.959866220735787,4.0,1.8615658321849085e-09
180,5.203463281383636e+16,0.002,-1.5e-09,0.65,18.06020066889632,4.0,1.8615658321849085e-09
181,5.203463474782996e+16,0.002,-1.5e-09,0.65,18.160535117056856,4.0,1.8615658321849085e-09
182,5.203463653160996e+16,0.002,-1.5e-09,0.65,18.26086956521739,4.0,1.8615658321849085e-09
183,5.203463817684196e+16,0.002,-1.5e-09,0.65,18.361204013377925,4.0,1.8615658321849085e-09
184,5.203463969428756e+16,0.002,-1.5e-09,0.65,18.461538461538463,4.0,1.8615658321849085e-09
185,5.203464109386916e+16,0.002,-1.5e-09,0.65,18.561872909698998,4.0,1.8615658321849085e-09
186,5.203464238474276e+16,0.002,-1.5e-09,0.65,18.662207357859533,4.0,1.8615658321849085e-09
187,5.203464357534996e+16,0.002,-1.5e-09,0.65,18.762541806020067,4.0,1.8615658321849085e-09
188,5.203464467347876e+16,0.002,-1.5e-09,0.65,18.862876254180602,4.0,1.8615658321849085e-09
189,5.203464568631076e+16,0.002,-1.5e-09,0.65,18.963210702341136,4.0,1.8615658321849085e-09
190,5.203464662047076e+16,0.002,-1.5e-09,0.65,19.06354515050167,4.0,1.8615658321849085e-09
191,5.203464748206916e+16,0.002,-1.5e-09,0.65,19.16387959866221,4.0,1.8615658321849085e-09
192,5.203464827674116e+16,0.002,-1.5e-09,0.65,19.264214046822744,4.0,1.8615658321849085e-09
193,5.203464900968436e+16,0.002,-1.5e-09,0.65,19.36454849498328,4.0,1.8615658321849085e-09
194,5.203464968569316e+16,0.002,-1.5e-09,0.65,19.464882943143813,4.0,1.8615658321849085e-09
195,5.203465030918996e+16,0.002,-1.5e-09,0.65,19.565217391304348,4.0,1.8615658321849085e-09
196,5.203465088425156e+16,0.002,-1.5e-09,0.65,19.665551839464882,4.0,1.8615658321849085e-09
197,5.203465141464116e+16,0.002,-1.5e-09,0.65,19.765886287625417,4.0,1.8615658321849085e-09
198,5.203465190382756e+16,0.002,-1.5e-09,0.65,19.866220735785955,4.0,1.8615658321849085e-09
199,5.203465235501156e+16,0.002,-1.5e-09,0.65,19.96655518394649,4.0,1.8615658321849085e-09
200,5.203465277114356e+16,0.002,-1.5e-09,0.65,20.066889632107024,4.0,1.8615658321849085e-09
201,5.203465315494596e+16,0.002,-1.5e-09,0.65,20.16722408026756,4.0,1.8615658321849085e-09
202,5.203465350893076e+16,0.002,-1.5e-09,0.65,20.267558528428093,4.0,1.8615658321849085e-09
203,5.203465383541236e+16,0.002,-1.5e-09,0.65,20.367892976588628,4.0,1.8615658321849085e-09
204,5.203465413652756e+16,0.002,-1.5e-09,0.65,20.468227424749163,4.0,1.8615658321849085e-09
205,5.203465441424596e+16,0.002,-1.5e-09,0.65,20.5685618729097,4.0,1.8615658321849085e-09
206,5.203465467038516e+16,0.002,-1.5e-09,0.65,20.668896321070235,4.0,1.8615658321849085e-09
207,5.203465490662116e+16,0.002,-1.5e-09,0.65,20.76923076923077,4.0,1.8615658321849085e-09
208,5.203465512449956e+16,0.002,-1.5e-09,0.65,20.869565217391305,4.0,1.8615658321849085e-09
209,5.203465532544596e+16,0.002,-1.5e-09,0.65,20.96989966555184,4.0,1.8615658321849085e-09
210,5.203465551077556e+16,0.002,-1.5e-09,0.65,21.070234113712374,4.0,1.8615658321849085e-09
211,5.203465568170116e+16,0.002,-1.5e-09,0.65,21.17056856187291,4.0,1.8615658321849085e-09
212,5.203465583934116e+16,0.002,-1.5e-09,0.65,21.270903010033447,4.0,1.8615658321849085e-09
213,5.203465598472756e+16,0.002,-1.5e-09,0.65,21.37123745819398,4.0,1.8615658321849085e-09
214,5.203465611881236e+16,0.002,-1.5e-09,0.65,21.471571906354516,4.0,1.8615658321849085e-09
215,5.203465624247316e+16,0.002,-1.5e-09,0.65,21.57190635451505,4.0,1.8615658321849085e-09
216,5.203465635651956e+16,0.002,-1.5e-09,0.65,21.672240802675585,4.0,1.8615658321849085e-09
217,5.203465646169796e+16,0.002,-1.5e-09,0.65,21.77257525083612,4.0,1.8615658321849085e-09
218,5.203465655869716e+16,0.002,-1.5e-09,0.65,21.872909698996658,4.0,1.8615658321849085e-09
219,5.203465664815316e+16,0.002,-1.5e-09,0.65,21.973244147157192,4.0,1.8615658321849085e-09
220,5.203465673065076e+16,0.002,-1.5e-09,0.65,22.073578595317727,4.0,1.8615658321849085e-09
221,5.203465680673076e+16,0.002,-1.5e-09,0.65,22.17391304347826,4.0,1.8615658321849085e-09
222,5.203465687689156e+16,0.002,-1.5e-09,0.65,22.274247491638796,4.0,1.8615658321849085e-09
223,5.203465694159316e+16,0.002,-1.5e-09,0.65,22.37458193979933,4.0,1.8615658321849085e-09
224,5.203465700125956e+16,0.002,-1.5e-09,0.65,22.474916387959865,4.0,1.8615658321849085e-09
225,5.203465705628116e+16,0.002,-1.5e-09,0.65,22.575250836120404,4.0,1.8615658321849085e-09
226,5.203465710701956e+16,0.002,-1.5e-09,0.65,22.67558528428094,4.0,1.8615658321849085e-09
227,5.203465715380676e+16,0.002,-1.5e-09,0.65,22.775919732441473,4.0,1.8615658321849085e-09
228,5.203465719694917e+16,0.002,-1.5e-09,0.65,22.876254180602007,4.0,1.8615658321849085e-09
229,5.203465723673156e+16,0.002,-1.5e-09,0.65,22.976588628762542,4.0,1.8615658321849085e-09
230,5.203465727341316e+16,0.002,-1.5e-09,0.65,23.076923076923077,4.0,1.8615658321849085e-09
231,5.203465730723636e+16,0.002,-1.5e-09,0.65,23.17725752508361,4.0,1.8615658321849085e-09
232,5.203465733842196e+16,0.002,-1.5e-09,0.65,23.27759197324415,4.0,1.8615658321849085e-09
233,5.203465736717476e+16,0.002,-1.5e-09,0.65,23.377926421404684,4.0,1.8615658321849085e-09
234,5.203465739368436e+16,0.002,-1.5e-09,0.65,23.47826086956522,4.0,1.8615658321849085e-09
235,5.203465741812436e+16,0.002,-1.5e-09,0.65,23.578595317725753,4.0,1.8615658321849085e-09
236,5.203465744065636e+16,0.002,-1.5e-09,0.65,23.678929765886288,4.0,1.8615658321849085e-09
237,5.203465746142756e+16,0.002,-1.5e-09,0.65,23.779264214046822,4.0,1.8615658321849085e-09
238,5.203465748057556e+16,0.002,-1.5e-09,0.65,23.879598662207357,4.0,1.8615658321849085e-09
239,5.203465749822596e+16,0.002,-1.5e-09,0.65,23.979933110367895,4.0,1.8615658321849085e-09
240,5.203465751449556e+16,0.002,-1.5e-09,0.65,24.08026755852843,4.0,1.8615658321849085e-09
241,5.203465752949076e+16,0.002,-1.5e-09,0.65,24.180602006688964,4.0,1.8615658321849085e-09
242,5.203465754331076e+16,0.002,-1.5e-09,0.65,24.2809364548495,4.0,1.8615658321849085e-09
243,5.203465755604756e+16,0.002,-1.5e-09,0.65,24.381270903010034,4.0,1.8615658321849085e-09
244,5.203465756778436e+16,0.002,-1.5e-09,0.65,24.48160535117057,4.0,1.8615658321849085e-09
245,5.203465757859956e+16,0.002,-1.5e-09,0.65,24.581939799331103,4.0,1.8615658321849085e-09
246,5.203465758856436e+16,0.002,-1.5e-09,0.65,24.68227424749164,4.0,1.8615658321849085e-09
247,5.203465759774436e+16,0.002,-1.5e-09,0.65,24.782608695652176,4.0,1.8615658321849085e-09
248,5.203465760620196e+16,0.002,-1.5e-09,0.65,24.88294314381271,4.0,1.8615658321849085e-09
249,5.203465761399156e+16,0.002,-1.5e-09,0.65,24.983277591973245,4.0,1.8615658321849085e-09
250,5.203465762116596e+16,0.002,-1.5e-09,0.65,25.08361204013378,4.0,1.8615658321849085e-09
